Dies ist synthetischer Datensatz für Unterrichtszwecke. Er ist Teil einer Open Educational Resource (OER) und enthält aus rechtlichen Gründen keine personenbezogenen Daten. Weitere Informationen und den Zugang zur OER finden sie auf folgender Website: https://quadriga-dk.github.io/Bewegtes-Bild-Fallstudie-2/
Titel	verantw._Pers._1	verantw._Pers._2	verantw._Pers._3	verantw._Pers._4	verantw._Pers._5	verantw._Gewerk_1	verantw._Gewerk_2	verantw._Gewerk_3	verantw._Gewerk_4	Projektart_1	Projektart_2	Ort_1	Ort_2	Verlag_1	Verlag_2	Jahr_1	Jahr_2	Jahr_Schätzung	Originalmedium	Länge_in_Meter	Schätzung_Länge	Dauer	Schätzung_Dauer	Bildrate_in_B/sec	Seitenverhältnis	Farbe	Tonmedium	Tonkanäle	Gattung	Schlagwort_1	Schlagwort_2	Schlagwort_3	Schlagwort_4	Schlagwort_5	Schlagwort_6	Stichwort_1	Stichwort_2	Stichwort_3	Stichwort_4	Stichwort_5	Stichwort_6	Stichwort_7	Stichwort_8	Stichwort_9	Stichwort_10	Rechte_1	Rechte_2	Rechte_3	AT	Paralleltitel	Einzeltitel	Prädikat	Regie_1	Regie_2	Regie_3	Regie_4	Regie_5	Regie_6	Regie_7	Regie_8	Regie_9	Regie_10	Co-Regie_1	Fernsehregie_1	Regie_DEFA_1	Regieassistenz_1	Regieassistenz_2	Animation_1	Animation_2	Animation_3	Animation_4	Animation_5	Animation_6	Animation_7	Animation_8	Animation_9	Animation_10	Animation_11	Chefanimation_1	Chefanimation_2	Kamera_1	Kamera_2	Kamera_3	Kamera_4	Kamera_5	Kamera_6	Kamera_7	Chefkamera_1	Steadicam_1	Kameraassistenz_1	Kameraassistenz_2	Kameraassistenz_3	Kameraassistenz_4	Kameraassistenz_5	Fotografie_1	Fotografie_2	Produktion_1	Produktion_2	Produktion_3	Produktion_4	Koproduzent_1	Drehbuch_1	Drehbuch_2	Drehbuch_3	Drehbuch_4	Autor_1	Buch_1	Buch_2	Text_1	Storyboard_1	Storyboard_2	Dramaturgie_1	Dramaturgie_2	Dramaturgie_3	Schnitt_1	Schnitt_2	Schnitt_3	Schnitt_4	Schnittassistenz_1	Montage_1	Montage_2	Ton_1	Ton_2	Ton_3	Ton_4	Ton_5	Ton_6	Tonregie_1	Tonaufnahme_1	Sprachaufnahme_1	Tonassistenz_1	Tonassistenz_2	Vertonung_1	Vertonung_2	Vertonung_3	Vertonung_4	Vertonung_5	Vertonung_6	O-Ton_1	Mischung_1	Mischung_2	Mischung_3	Mischton_1	Mischtonmeister_1	Sounddesign_1	Geräusche_1	Akustische_Projektbetreuung_Ton_1	Akustische_Projektbetreuung_Ton_2	Musik_1	Musik_2	Musik_3	Musik_4	Musik_5	Musikredaktion_1	Komponist_1	Komposition_1	Arrangement_1	Dirigent_1	Interpret_1	Gesang_1	Cello_1	Piano_1	Tanz_1	Szenografie_1	Szenografie_2	Szenografie_3	Bühnenbild_1	Modellbau_1	Modellbau_2	Modellbau_3	Bauten_1	Bauten_2	Hintergründe_1	Hintergrundentwurf_1	Keramik_1	Keramik_2	Requisite_1	Kostüm_1	Kostüm_2	Maske_1	Beleuchtung_1	Beleuchtung_2	Beleuchtungsassistenz_1	Beleuchtungsassistenz_2	Beleuchtungstechnik_1	Bildtechnik_1	Videotechnik_1	Videotechnik_2	Videotechnik_3	Videotechnik_4	Herstellungsleitung_1	Herstellungsleitung_2	Produktionsleitung_1	Aufnahmeleitung_1	Aufnahmeleitung_2	Aufnahmeleitung_3	Aufnahmeleitung_4	Realisation_1	Realisation_2	Realisation_3	Realisation_4	Realisation_5	Realisation_6	Realisation_7	Realisation_8	Realisation_9	Realisation_10	Realisation_11	Realisation_12	Realisation_13	Realisation_14	Realisation_15	Realisation_16	Realisation_17	Realisation_18	DarstellerIn_1	DarstellerIn_2	DarstellerIn_3	DarstellerIn_4	DarstellerIn_5	DarstellerIn_6	DarstellerIn_7	DarstellerIn_8	DarstellerIn_9	DarstellerIn_10	DarstellerIn_11	DarstellerIn_12	DarstellerIn_13	DarstellerIn_14	DarstellerIn_15	DarstellerIn_16	DarstellerIn_17	DarstellerIn_18	DarstellerIn_19	Thematisierte_Person_1	Thematisierte_Person_2	Thematisierte_Person_3	Thematisierte_Person_4	Thematisierte_Person_5	Thematisierte_Person_6	Thematisierte_Person_7	Thematisierte_Person_8	Interviewte_Person_1	Interviewte_Person_2	Interviewte_Person_3	Interviewte_Person_4	Interviewte_Person_5	Interviewte_Person_6	Interviewte_Person_7	Interviewte_Person_8	Interviewte_Person_9	Interviewte_Person_10	Interviewte_Person_11	Interviewte_Person_12	Interviewte_Person_13	Interviewte_Person_14	Interviewte_Person_15	Interviewte_Person_16	Interviewte_Person_17	im_Bild_1	im_Bild_2	im_Bild_3	im_Bild_4	im_Bild_5	im_Bild_6	im_Bild_7	im_Bild_8	im_Bild_9	im_Bild_10	Gast_1	Gast_2	Gast_3	Gast_4	Gast_5	Gast_6	Gast_7	Gast_8	Gast_9	Gast_10	Gesprächsteilnehmer_1	Gesprächsteilnehmer_2	Gesprächsteilnehmer_3	Gesprächsteilnehmer_4	Gesprächsteilnehmer_5	Gesprächsteilnehmer_6	Gesprächsteilnehmer_7	Gesprächsteilnehmer_8	Gesprächsteilnehmer_9	Gesprächsteilnehmer_10	Studiogast_1	Studiogast_2	Studiogast_3	Moderation_1	Moderation_2	Reporter_1	Reporter_2	Sprecher_1	Sprecher_2	Sprecher_3	Sprecher_4	Sprecher_5	Sprecher_6	Sprecher_7	Stimme_1	Redner_1	Vorlage_1	Idee_1	Idee_2	Szenarium_1	Szenarium_2	Initiator_1	Inszenierung_1	Bühneninszenierung_1	Spezialeffekte_1	Spezialeffekte_2	Trick_1	Bühne_1	Kamerabühne_1	Künstl._Leitung_1	Endfertigung_1	Gestaltung_1	Gestaltung_2	Gestaltung_3	Gestaltung_4	Gestaltung_5	Gestaltung_6	Gestaltung_7	Gestaltung_8	Layout_1	Illustration_1	grafische_Gestaltung_1	Titel_1	Kommentar_1	Kommentar_2	Filmhistoriker_1	HFF_1	extern._Fernstudent_Dokumentarfilm_1	Redaktion_1	Redaktion_2	Redaktion_Arte_1	Redaktion_ORB_1	Bildregie_1	Fern._d._DDR_1	Fern._d._DDR_2	Techn._Studioleiter_ZDF_1	Techn._Leitung_ZDF_1	Bildmischung_ZDF_1	MAZ_ZDF_1	Mitarbeit_1	Mitarbeit_2	Mitarbeit_3	Mitarbeit_4	Mitarbeit_5	Mitarbeit_6	Mitarbeit_7	Mitarbeit_8	Mitarbeit_9	Unterstützung_1	Unterstützung_2	Assistenz_1	Projektbetreuung_1	Fachliche_Beratung_Regie_1	Fachliche_Beratung_Regie_2	Fachliche_Beratung_Regie_3	Fachliche_Beratung_Regie_4	Beratung_Regie_1	Beratung_Regie_2	Fachliche_Betreuung_Regie_1	Mentor_Regie_1	Mentor_Regie_2	Beratung_Mentor_Regie_1	Fachliche_Beratung_Animation_1	Fachliche_Beratung_Animation_2	Fachliche_Beratung_Kamera_1	Fachliche_Beratung_Kamera_2	Beratung_Kamera_1	Fachliche_Betreuung_Kamera_1	Mentor_Kamera_1	Mentor_Kamera_2	Beratung_Produktion_1	Fachliche_Beratung_Produktion_1	Fachliche_Beratung_Produktion_2	Fachliche_Beratung_Produktion_3	Fachliche_Betreuung_Produktion_1	Mentor_Produktion_1	Fachliche_Beratung_Drehbuch_1	Fachliche_Beratung_Drehbuch_2	Fachliche_Beratung_Buch_1	Beratung_Buch_1	Betreuung_Buch_1	Fachliche_Beratung_Text_1	Fachliche_Beratung_Dramaturgie_1	Fachliche_Beratung_Dramaturgie_2	Fachliche_Betreuung_Dramaturgie_1	Beratung_Dramaturgie_1	Dramaturgische_Beratung_1	Fachliche_Beratung_Schnitt_1	Fachliche_Beratung_Schnitt_2	Fachliche_Beratung_Montage_1	Fachliche_Beratung_Montage_2	Fachliche_Betreuung_Schnitt_1	Betreuung_Schnitt_1	Fachliche_Beratung_Ton_1	Fachliche_Beratung_Ton_2	Fachliche_Beratung_Mischton_1	Beratung_Musik_1	Fachliche_Beratung_Szenografie_1	Fachliche_Beratung_Szenografie_2	Fachliche_Beratung_Beleuchtung_1	Künstl._Beratung_1	Beratung_Kommentar_1	Redaktionelle_Beratung_1	Beratung_Fern._d._DDR_1	Beratung_DEFA_1	Mentor_Regie_DEFA_1	Fachliche_Beratung_Interflug_1	Fachliche_Beratung_Interflug_2	Fachliche_Beratung_Interflug_3	Beratung_Rat_der_Stadt_Potsdam_1	Beratung_Rat_der_Stadt_Potsdam_2	Fachliche_Beratung_1	Fachliche_Beratung_2	Fachliche_Beratung_3	Fachliche_Beratung_4	Fachliche_Beratung_5	Fachliche_Beratung_6	Fachliche_Beratung_7	Fachliche_Beratung_8	Fachliche_Beratung_9	Fachliche_Beratung_10	Fachliche_Beratung_11	Beratung_1	Beratung_2	Betreuung_1
Nacht in Leipzig, Eine	Olga Mielke					Regie	Regie			TV-Übung		Potsdam		Filmgruppe Berlin-Mitte		1992		false	16mm	342	false	28:30min	false	25			Commag																										Olga Mielke	Zeno Wünsche																																											Nguyen Lao Thanh																																		Jens-Peter Müller																		Ivan Vorobev																													Jutta Lehmann																																																																																																																																																																																																																																																																
Leipzig 1998						Regie						Potsdam		Filmgruppe Berlin-Mitte		1998		false	16mm	44	false	20:19min	true	25		color	Comopt	Dolby SR																									Jiri Dvorak																																												Heinz Hähnel																		Zoe Abendroth																																																	Klaus-Dieter Obermann																																																				Andrei Ivanov	Jasmin Jürgens	Renate-Susanne Rösler	Yasmin Lübke	Patricia Schade	Yasmin Mai																																																																																																																																																																																																																					
Brief blieb ungeöffnet, Der												Potsdam		Kollektiv Bild und Ton Potsdam	Atelier für Dokumentarfilm Babelsberg	1992		false	16mm	25	false		false						Dokumentarfilm	Dokumentarfilm	Horror	Film- und Fernsehregie																																																	Ingeburg Lütke																															Xaver-Zeno Abeln			Alexei Popov																																																	Chen Tao																																																																																																																																																																																																																																																																	Günter Wölfel	Xaver-Zeno Abeln	Annelie Buchholz	Heiko Keller	Heidrun Jacob									
Liste war unvollständig, Die	Danny Weber					Regie				Kameraübung		Potsdam				1987		false	16mm	51	false		false																										Erinnerung auf Zehenspitzen, Die				Olga Jürgens																																																	Katrin Karge	Tariq Salem												Ottmar Schade							Friedhelm Hüfner																																																																								Uta Zettler																																																																																																																																																																																																																																																
Niemand nahm den Auftrag mit	Waltraud Schulz					Regie						Potsdam		Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Audiovisuelle Werkstatt Frankfurt/Oder	1992	1993	false	35mm	128	false	20:40min	false		1:1,33		Commag																										Aloys Kettner	Waltraud Schulz																											Armin Böttcher																																																																																																																																																																																																																																																																																																																																																																	
Als der Winter kein Ende nahm	Hoang Minh Tuan					Regie				Hauptprüfungsfilm		Potsdam		Filmgruppe Berlin-Mitte	Produktionskollektiv Brandenburg/Havel	1991		false	35mm	163	false	10:20min	false	24		color			Dokumentarfilm	Dokumentarfilm																																																			Harald Koch	Justus Lüdke	Frank-Walter Jost	Hedwig Kästner											Volker Scheel	Hoàng Minh Đức																										Friedhelm Hüfner																																																																																																																																																																																																																																																																																																																								
Ruhe vor dem Wort, Die	Xenia Abendroth					Regie				Diplomfilm		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder		1996		false	Betacam SP		false	36:00min	false	25		s/w+color	Sepmag		Dokumentarfilm	Dokumentarfilm	Adaption					Tierpräparation										HFF							Xenia Abendroth																												Merten Oertel																Rosemarie Raddatz																		Quirin-Stefan Quandel							Rico-Adrian Reichel																																																																																														Bastian Böhmer	Peer Wohlgemuth	Niels Pohl	Heinfried Kühnel																																																																																																																							Bert Ebert																																																																																																
Atlas der verlorenen Städte, Der						Kamera						Potsdam				1993		false	Betacam SP		false	7:00min	false	25			Comopt		Spielfilm	Spielfilm						nonverbal										HFF			Und du nicht wach wurdest				Leila Farah																												Tobias Kühnel																																		Hannah Wagner							York Töpfer																																																																																																																																																																															Nadine Kindler	Dietmar Flemming								Friederike Nitschke																																																																																																																																
Zwischen Frühschicht und Flucht	Benjamin Christ					Kameraübung						Potsdam		Atelier für Dokumentarfilm Babelsberg		1988		false	16mm	780	false		false				Magnetton									Lausitz	Braunkohle																																																																																																																																																																																			Xaver Groll	Petra Müller																																																																																																																																																																	Bärbel Dittberner																																																								
Als der Lehrer streikte	Frieda Eggert					Animation						Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder		1999		false	35mm	95	false	14:50min	false	25		color	Stumm																			HFF							Xenia Schollmeyer															Frieda Eggert																																																						Dirk Hentze																		Christfried Mertens	Yong Chen																																																																											Lieselotte Abendroth	Berthold Nolting	Ludmila Abt	Ingrid Hoffmann	Doris Enders	Annelie Borchert	Rüdiger Holsten	Wieland Wagner																																																																																																																																																																																																																			
Trennlinie	Volker Uhl															1990		false	U-matic		false	74:44min	true	25																													Bao Nguyen																												Harald Ihlenfeld																					Egon Härtel																				Friedhelm Hüfner																																																																																																																																																																																																																																																																																																																								
Abmeldung war nicht nötig	Benjamin Christ					Regie				Hauptprüfungsfilm		Potsdam		Filmgruppe Berlin-Mitte		1986		false	35mm		false	23:00min	false	25		color	Comopt		Dokumentarfilm	Dokumentarfilm																HFF			Wenn keiner mehr fragte				Benjamin Christ													Johann Koch															Simone Weber																																		Johanna Hentze							Eckhard Flemming																																																																																																																																																																																																																																																																																																																								
Im Schatten der Falte	Simone Schwarz									Lichtübung		Potsdam				1995		false	16mm	46	false	55:00min	false			s/w+color	Comopt		Dokumentarfilm	Dokumentarfilm																							Zarah Dombrowski																																												Paul Becker	Renate Eichel																																																																																																																						Petra-Roswitha Pflug	Pham Quoc Vuong	Lothar Ostermann	Mandy Schumacher	Stefan Schütze	Tassilo Dittberner	Manfred Jost	Ottmar Schade																																																																																																																																																																																																																			
Heft 6 – Ein Versuch	Merten Oertel					Regie				Diplomfilm		Potsdam				1996		false	16mm	348	false	14:45min	false			s/w		Dolby	Spielfilm	Spielfilm	Tiere															HFF							Merten Oertel															Jürgen Becker													Volkhard Ewert																																		Klaus-Peter Lutz																																																																																																																																																																																																																																																																																																																															
Melancholie der leeren Schulhöfe, Die	Rosemarie Quade					Regie	Regie					Potsdam				1987		false	U-matic		false	19:15min	false	24			Sepmag		Spielfilm	Spielfilm																HFF							Rosemarie Quade																												Martin Herrmann																					Oliver Pohl																				Ingolf Xylander																																																																																																																																																																																																																																																																																																																								
Treppengeländer lose												Potsdam		Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1989		false	35mm		false	3:46min	false	25																						HFF																																			Bernd Böttger	Chen Xin															Xaver Ortmann																									Volker-Wilhelm Ullrich																																																																																																																																																																																																																																																																																																																								
Niemand sang die Hymne						Regie						Potsdam		Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1988		false	U-matic		false	28:00min	false	25	1:1,33					Widerstandsbewegungen						Deutsche Revolution 1848/49	Altenpflege DDR												Wo Herzen im Licht der Dämmerung schlagen																																Uta Caspari																Helga Hüfner					Christian Eberspächer										Alfred Becker			Johanna Hentze																																																																																																																																																																																																																																																																																																																															
Ich schrieb zu langsam	Fatima Ali					Regie				Kameraübung		Potsdam				1989		false	VHS		false	27:00min	false																														Fatima Ali																												Le Van Anh																																									Mirko Neumann	Nguyen Van Hung	Jürgen Hufnagel																																																						Irene Oertel																																																																																																																																																																																																																																																																
Stille Revolte	Karl-Heinz Möbus					Kameraabschlußübung						Potsdam		Kollektiv Bild und Ton Potsdam		1988		false	VHS		false	30:56min	false	25		color	Comopt			Videoclip						Ost Berlin	vor der Wende	ohne Sprache	DDR Jugend	no dialogue						HFF																																			Karl-Heinz Möbus	Uta Caspari																																																																																																																																						Corinna Meinhardt	Xaver Färber	Ottokar Pfaff																																																																																																																																																																																																																								
Flüstern eines verlorenen Versprechens, Das	Diethelm Jäkel					Regie						Potsdam				1990		false	16mm		false	9:27min	false	25		color																																																																																						Tran Van Long										Patrick Kaiser																																																																																																																																																																																																																																																																																																																								
Teilnehmer nicht erschienen	Lý Thị Mai					Regie						Potsdam				1998		false	35mm	30	false	1:32min	false	24		color			Spielfilm	Spielfilm																HFF							Lý Thị Mai													Christel Franke															Anneliese Mayer																Martha Hoffmann																		Olga Sokolova							Yong Chen																																																																																																																	Tobias Mayer	Hannelore Kühne																																																																																																																																																																																																						
Rhythmus der leeren Büroflure, Der						Regie				F2		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	Filmgruppe Berlin-Mitte	1999		false	16mm	153	false	2:24min	true	25		color	Comopt		Spielfilm	Spielfilm																							Dariusz Wojciechowski															Annelie Groll													Roswita Schimmel														Lutz Meier																				Jana Jahn							Klara Wolf																																										Verena Mertens																																																																																																																																																																																																																																																																														
Vielleicht war ich es selbst						Regie						Potsdam		Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Kollektiv Bild und Ton Potsdam	1997		false	35mm	449	false	25:00min	false	24		color	Sepmag	Dolby SR		Adaption																Engel	Körner	Katrin Albrecht	Morgennebel																																Anneliese Mayer																																																																																																																																																																																																																																																																																																																																																																	
Uhrzeiger im Rückwärtsgang						Regie				Diplomfilm		Potsdam				1995	1996	false	16mm		false	68:00min	false	24		color			Dokumentarfilm	Dokumentarfilm																HFF																																			Elke-Friederike Degen																Elena Nowak																		Hermann Kessel																																																																																																																																																																																																																																																																																										Johanna Hentze																																					
Wo die Sterne ihren Tanz beginnen	Nadine Müller					Regie				TV-Übung		Potsdam				1992	1993	false	35mm	160	false	23:20min	false	25		color	Comopt		Animationsfilm	Animationsfilm																																																																			Anna-Christine Caspari																		Zhang Tao	Annelie Buchholz						Ludger Xylander	Chen Min	Wang Mei																									Ingo Grunewald																																																																																																																																																																																																																																																																																													
