Dies ist synthetischer Datensatz für Unterrichtszwecke. Er ist Teil einer Open Educational Resource (OER) und enthält aus rechtlichen Gründen keine personenbezogenen Daten. Weitere Informationen und den Zugang zur OER finden sie auf folgender Website: https://quadriga-dk.github.io/Bewegtes-Bild-Fallstudie-2/
Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Column_8	Verlag	Jahr	Originalmedium	Länge	Schlagwort	Stichwort	Bib._Nummer
Eine Nacht in Leipzig	Olga Mielke	Regie	TV-Übung	Potsdam		Filmgruppe "Berlin-Mitte"	1992	16mm	342m			DE-Po75
Leipzig 1998		Regie		Potsdam		Film gruppe Berlin-Mitte	1998	16mm	44m			DE-Po75
<<Der>> Brief blieb ungeöffnet				Potsdam		Kollektiv Bild und Ton Potsdam ; Atelier für Dokumentar-Film Babelsberg	1992	16mm	25m	Dokumentarfilm ; Horror ; Film- und Fernsehregie		DE-Po75
Die Liste war unvollständig	Danny Weber	Regie	Kameraübung	Potsdam			1987	16mm	51m			DE-Po75
Niemand nahm den Auftrag mit	Waltraud Schulz	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Audiovisuelle Werkstatt Frankfurt Oder	1992/93	35mm	128m			DE-Po75
Als der Winter kein Ende nahm	Hoang Minh Tuan	Regie	Hauptprüfungsfilm	Potsdam		Filmgruppe Berlin-Mitte ; Produktionskollektiv Brandenburg/Havel	[1991]	35mm	163m	Dokumentarfilm		DE-Po75
Die Ruhe vor dem Wort	Xenia Abendroth	Regie	Diplomfilm	Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1996	Betacam SP		Dokumentarfilm ; Adaption	Tierpräparation	DE-Po75
<<Der>> Atlas der verlorenen Städte		Kamera		Potsdam			1993	Betacam SP		Spielfilm	nonverbal	DE-Po75
Zwischen Frühschicht und Flucht	Benjamin Christ	Kameraübung		Potsdam		Atelier für Dokumentarfilm Babelsberg	1988	16mm	780m		Lausitz ; Braunkohle	DE-Po75
Als der Lehrer streikte	Frieda Eggert	Animation		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1999	35mm	95m			DE-Po75
Trennlinie	Volker Uhl						1990	U-matic				DE-Po75
Abmeldung war nicht nötig	Benjamin Christ	Regie	Hauptprüfungsfilm	Potsdam		Filmgruppe "Berlin-Mitte"	1986	35mm		Dokumentarfilm		DE-Po75
Im Schatten der Falte	Simone Schwarz		Lichtübung	Potsdam			1995	16mm	46m	Dokumentarfilm		DE-Po75
Heft 6 – Ein Versuch	Merten Oertel	Regie	Diplomfilm	Potsdam			1996	16mm	348m	Spielfilm ; Tiere		DE-Po75
Die Melancholie der leeren Schulhöfe	Rosemarie Quade	Regie		Potsdam			1987	U-matic		Spielfilm		DE-Po75
Treppengeländer lose				Potsdam		Filmgruppe Berlin-Mitte ; "AudioVisuelle Werkstatt" Frankfurt/Oder	1989	35mm				DE-Po75
Niemand sang die Hymne		Regie		Potsdam		Filmgruppe "Berlin-Mitte" ; Atelier für Dokumentarfilm Babelsberg	[1988]	U-matic		Widerstandsbewegungen	Deutsche Revolution 1848/49 ; Altenpflege DDR	DE-Po75
Ich schrieb zu langsam	Fatima Ali	Regie	Kameraübung	Potsdam			1989	VHS				DE-Po75
Stille Revolte	Karl-Heinz Möbus	Kameraabschlußübung		Potsdam		Kollektiv Bild &Ton "Potsdam"	1988	VHS		Videoclip	Ost Berlin ; vor der Wende ; ohne Sprache ; DDR Jugend ; no dialogue	DE-Po75
Das Flüstern eines verlorenen Versprechens	Diethelm Jäkel	Regie		Potsdam			1990	16mm				DE-Po75
Teilnehmer nicht erschienen	Lý Thị Mai	Regie		Potsdam			1998	35mm	30m	Spielfilm		DE-Po75
