Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Verlag_1	Verlag_2	Jahr_1	Jahr_2	Jahr_Schätzung	Originalmedium	Länge	Schlagwort_1	Schlagwort_2	Schlagwort_3	Schlagwort_4	Schlagwort_5	Schlagwort_6	Stichwort_1	Stichwort_2	Stichwort_3	Stichwort_4	Stichwort_5	Stichwort_6	Stichwort_7	Stichwort_8	Stichwort_9	Stichwort_10	Stichwort_11
Nacht in Leipzig, Eine	Olga Mielke	Regie	TV-Übung	Potsdam	Filmgruppe Berlin-Mitte		1992		false	16mm	342m																	
Leipzig 1998		Regie		Potsdam	Filmgruppe Berlin-Mitte		1998		false	16mm	44m																	
Brief blieb ungeöffnet, Der				Potsdam	Kollektiv Bild & Ton Potsdam	Atelier für Dokumentarfilm Babelsberg	1992		false	16mm	25m	Dokumentarfilm	Horror	Film- und Fernsehregie														
Liste war unvollständig, Die	Danny Weber	Regie	Kameraübung	Potsdam			1987		false	16mm	51m																	
Niemand nahm den Auftrag mit	Waltraud Schulz	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Audiovisuelle Werkstatt Frankfurt/Oder	1992	1993	false	35mm	128m																	
Als der Winter kein Ende nahm	Hoang Minh Tuan	Regie	Hauptprüfungsfilm	Potsdam	Filmgruppe Berlin-Mitte	Produktionskollektiv Brandenburg/Havel	1991		false	35mm	163m	Dokumentarfilm																
Ruhe vor dem Wort, Die	Xenia Abendroth	Regie	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1996		false	Betacam SP		Dokumentarfilm	Adaption					Tierpräparation										
Atlas der verlorenen Städte, Der		Kamera		Potsdam			1993		false	Betacam SP		Spielfilm						nonverbal										
Zwischen Frühschicht und Flucht	Benjamin Christ	Kameraübung		Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false	16mm	780m							Lausitz	Braunkohle									
Als der Lehrer streikte	Frieda Eggert	Animation		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1999		false	35mm	95m																	
Trennlinie	Volker Uhl						1990		false	U-matic																		
Abmeldung war nicht nötig	Benjamin Christ	Regie	Hauptprüfungsfilm	Potsdam	Filmgruppe Berlin-Mitte		1986		false	35mm		Dokumentarfilm																
Im Schatten der Falte	Simone Schwarz		Lichtübung	Potsdam			1995		false	16mm	46m	Dokumentarfilm																
Heft 6 – Ein Versuch	Merten Oertel	Regie	Diplomfilm	Potsdam			1996		false	16mm	348m	Spielfilm	Tiere															
Melancholie der leeren Schulhöfe, Die	Rosemarie Quade	Regie		Potsdam			1987		false	U-matic		Spielfilm																
Treppengeländer lose				Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1989		false	35mm																		
Niemand sang die Hymne		Regie		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1988		false	U-matic		Widerstandsbewegungen						Deutsche Revolution 1848/49	Altenpflege DDR									
Ich schrieb zu langsam	Fatima Ali	Regie	Kameraübung	Potsdam			1989		false	VHS																		
Stille Revolte	Karl-Heinz Möbus	Kameraabschlußübung		Potsdam	Kollektiv Bild & Ton Potsdam		1988		false	VHS		Videoclip						Ost Berlin	vor der Wende	ohne Sprache	DDR Jugend	no dialogue						
Flüstern eines verlorenen Versprechens, Das	Diethelm Jäkel	Regie		Potsdam			1990		false	16mm																		
Teilnehmer nicht erschienen	Lý Thị Mai	Regie		Potsdam			1998		false	35mm	30m	Spielfilm																
Rhythmus der leeren Büroflure, Der		Regie	F2	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Filmgruppe Berlin-Mitte	1999		false	16mm	153m	Spielfilm																
Vielleicht war ich es selbst		Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Kollektiv Bild & Ton Potsdam	1997		false	35mm	449m	Adaption																
Uhrzeiger im Rückwärtsgang		Regie	Diplomfilm	Potsdam			1995	1996	false	16mm		Dokumentarfilm																
Wo die Sterne ihren Tanz beginnen	Nadine Müller	Regie	TV-Übung	Potsdam			1992	1993	false	35mm	160m	Animationsfilm																
Funke im Licht, Ein				Potsdam			1988		false	U-matic																		
leisen Worte eines neuen Anfangs, Die		Regie		Potsdam			1989		false	16mm	450m	Dokumentarfilm	Talkshow	Porträtfilm														
FDJ-Leiter abwesend		Kamera	Hauptprüfungsfilm	Potsdam			1985		false	16mm	78m																	
Schublade war leer, aber nicht bereit, Die	Rosemarie Quiring	Regie		Potsdam			1990		false	35mm	1254m							Verbotsfilm	Wende									
Ich kannte niemanden auf dem Bild	Hartmut Voss	Kamera		Potsdam			1991		false	16mm	94m	Adaption																
Liste nicht anfassbar	Fatima Ali	Kamera		Potsdam			1990		false	U-matic		Spielfilm	Dokumentarfilm															
Und der Busfahrer kannte meinen Namen	Anastasia Romanova	Regie	Kameraübung	Potsdam			1989		false	VHS		Adaption																
Plauen – wo alles begann				Potsdam			1992		false	S-VHS		Interviewfilm	Kulturfilm															
Lyrik der defekten Aufzüge, Die	Gisela-Elisabeth Clausnitzer	Kamera	TV-Übung	Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1988	1989	false	16mm	240m	Dokumentarfilm	Ehe					Alleinerziehende Mutter DDR	Geschieden									
